t,id,x,y,r
5.72,0,2.727,15.7438,0.250993
5.73,0,2.74606,15.7376,0.250993
5.74,0,2.76511,15.7315,0.250993
5.75,0,2.78417,15.7253,0.250993
5.76,0,2.80323,15.7191,0.250993
5.77,0,2.82228,15.7129,0.250993
5.78,0,2.84134,15.7068,0.250993
5.79,0,2.8604,15.7006,0.250993
5.8,0,2.87946,15.6944,0.250993
5.81,0,2.89852,15.6883,0.250993
5.82,0,2.91759,15.6821,0.250993
5.83,0,2.93665,15.6759,0.250993
5.84,0,2.95571,15.6698,0.250993
5.85,0,2.97478,15.6636,0.250993
5.86,0,2.99385,15.6574,0.250993
5.87,0,3.01292,15.6513,0.250993
5.88,0,3.03199,15.6451,0.250993
5.89,0,3.05106,15.6389,0.250993
5.9,0,3.07014,15.6328,0.250993
5.91,0,3.08921,15.6266,0.250993
5.92,0,3.10828,15.6205,0.250993
5.93,0,3.12736,15.6143,0.250993
5.94,0,3.14644,15.6081,0.250993
5.95,0,3.16552,15.602,0.250993
5.96,0,3.1846,15.5958,0.250993
5.97,0,3.20368,15.5897,0.250993
5.98,0,3.22276,15.5835,0.250993
5.99,0,3.24185,15.5774,0.250993
6,0,3.26094,15.5712,0.250993
6.01,0,3.28002,15.5651,0.250993
6.02,0,3.29911,15.5589,0.250993
6.03,0,3.3182,15.5528,0.250993
6.04,0,3.33729,15.5466,0.250993
6.05,0,3.35639,15.5405,0.250993
6.06,0,3.37548,15.5343,0.250993
6.07,0,3.39458,15.5282,0.250993
6.08,0,3.41367,15.5221,0.250993
6.09,0,3.43277,15.5159,0.250993
6.1,0,3.45187,15.5098,0.250993
6.11,0,3.47097,15.5036,0.250993
6.12,0,3.49008,15.4975,0.250993
6.13,0,3.50918,15.4914,0.250993
6.14,0,3.52828,15.4852,0.250993
6.15,0,3.54739,15.4791,0.250993
6.16,0,3.5665,15.473,0.250993
6.17,0,3.58561,15.4668,0.250993
6.18,0,3.60472,15.4607,0.250993
6.19,0,3.62383,15.4546,0.250993
6.2,0,3.64295,15.4484,0.250993
6.21,0,3.66206,15.4423,0.250993
6.22,0,3.68118,15.4362,0.250993
6.23,0,3.7003,15.4301,0.250993
6.24,0,3.71942,15.4239,0.250993
6.25,0,3.73854,15.4178,0.250993
6.26,0,3.75766,15.4117,0.250993
6.27,0,3.77678,15.4056,0.250993
6.28,0,3.79591,15.3995,0.250993
6.29,0,3.81504,15.3933,0.250993
6.3,0,3.83416,15.3872,0.250993
6.31,0,3.85329,15.3811,0.250993
6.32,0,3.87242,15.375,0.250993
6.33,0,3.89156,15.3689,0.250993
6.34,0,3.91069,15.3628,0.250993
6.35,0,3.92982,15.3566,0.250993
6.36,0,3.94896,15.3505,0.250993
6.37,0,3.9681,15.3444,0.250993
6.38,0,3.98724,15.3383,0.250993
6.39,0,4.00638,15.3322,0.250993
6.4,0,4.02552,15.3261,0.250993
6.41,0,4.04466,15.32,0.250993
6.42,0,4.0638,15.3139,0.250993
6.43,0,4.08295,15.3078,0.250993
6.44,0,4.10209,15.3017,0.250993
6.45,0,4.12124,15.2956,0.250993
6.46,0,4.14039,15.2895,0.250993
